symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
NEAR-USDT,LONG,S3,کرونوس (Cronus),1.94930000,1.87132800,0.00000000,2026-09-04 08:15:47,CLOSED,TRAIL_STOP,2026-09-04 07:16:58,1.95920000,0.200000,0.307875,10.00,0.507875,titan_signal
NEAR-USDT,LONG,B1,هایپریون (Hyperion),1.94930000,1.87132800,0.00000000,2026-09-04 08:15:49,CLOSED,TRAIL_STOP,2026-09-04 07:16:58,1.95920000,0.200000,0.307875,10.00,0.507875,titan_signal
ADA-USDT,LONG,S1,پرومتئوس (Prometheus),0.22440000,0.21542400,0.00000000,2026-09-04 08:15:50,CLOSED,STOP_HIT,2026-09-04 12:48:31,0.21542400,0.200000,-4.200000,10.00,-4.000000,titan_signal
ADA-USDT,LONG,S3,کرونوس (Cronus),0.22440000,0.21542400,0.00000000,2026-09-04 08:15:51,CLOSED,STOP_HIT,2026-09-04 12:48:32,0.21542400,0.200000,-4.200000,10.00,-4.000000,titan_signal
ADA-USDT,LONG,B1,هایپریون (Hyperion),0.22440000,0.21542400,0.00000000,2026-09-04 08:15:52,CLOSED,STOP_HIT,2026-09-04 12:48:32,0.21542400,0.200000,-4.200000,10.00,-4.000000,titan_signal
LINK-USDT,LONG,S1,پرومتئوس (Prometheus),11.94360000,11.46585600,0.00000000,2026-09-04 08:15:55,CLOSED,TRAIL_STOP,2026-09-04 08:45:07,11.99085000,0.200000,0.195609,10.00,0.395609,titan_signal
LINK-USDT,LONG,S3,کرونوس (Cronus),11.94360000,11.46585600,0.00000000,2026-09-04 08:15:56,CLOSED,TRAIL_STOP,2026-09-04 08:45:08,11.99085000,0.200000,0.195609,10.00,0.395609,titan_signal
LINK-USDT,LONG,B1,هایپریون (Hyperion),11.94360000,11.46585600,0.00000000,2026-09-04 08:16:14,CLOSED,TRAIL_STOP,2026-09-04 08:45:08,11.99085000,0.200000,0.195609,10.00,0.395609,titan_signal
AVAX-USDT,LONG,S1,پرومتئوس (Prometheus),7.49300000,7.19328000,0.00000000,2026-09-04 08:16:28,CLOSED,TRAIL_STOP,2026-09-04 09:17:23,7.52720000,0.200000,0.256426,10.00,0.456426,titan_signal
AVAX-USDT,LONG,S3,کرونوس (Cronus),7.49300000,7.19328000,0.00000000,2026-09-04 08:16:29,CLOSED,TRAIL_STOP,2026-09-04 09:17:24,7.52720000,0.200000,0.256426,10.00,0.456426,titan_signal
AVAX-USDT,LONG,B1,هایپریون (Hyperion),7.49300000,7.19328000,0.00000000,2026-09-04 08:16:30,CLOSED,TRAIL_STOP,2026-09-04 09:17:24,7.52720000,0.200000,0.256426,10.00,0.456426,titan_signal
